departamento,Doctorado,Especializacion,Maestria,Tecnologica,Universitaria
ANTIOQUIA,1596,12887,7251,104298,205054
ATLANTICO,298,3910,2667,32999,87228
BOGOTA_DC,2215,43686,25431,157675,525511
BOLIVAR,118,2157,1371,29123,41268
BOYACA,155,3343,1666,13719,44897
CALDAS,477,2265,3121,10105,31772
CAQUETA,22,438,372,1385,9502
CAUCA,123,1264,960,13965,31785
CESAR,0,2927,184,10059,25520
CORDOBA,9,1186,431,3573,34989
CUNDINAMARCA,80,1831,1460,34719,40588
CHOCO,0,219,182,815,11785
HUILA,29,799,847,11524,25640
GUAJIRA,1,178,547,5345,14479
MAGDALENA,10,1105,250,6554,25160
META,0,740,301,5162,23766
NARINIO,45,1212,956,4723,34080
NORTE_DE_SANTANDER,0,1674,1177,12750,54158
QUINDIO,26,571,361,9812,17741
RISARALDA,127,1704,1746,12691,32966
SANTANDER,152,6679,10720,40328,69546
SUCRE,0,237,81,2568,19781
TOLIMA,19,1318,599,17272,27154
VALLE_DEL_CAUCA,697,5813,5276,48328,111712
ARAUCA,0,57,0,716,1687
CASANARE,0,212,6,1659,7187
PUTUMAYO,0,36,104,2885,1365
SAN_ANDRES_PROVIDENCIA,15,26,34,1273,51
AMAZONAS,11,14,98,322,318
GUAINIA,0,81,3,344,126
GUAVIARE,0,32,1,1472,643
VAUPES,0,0,26,126,37
VICHADA,0,24,0,463,93